id,red,green,blue,barony,county,duchy,kingdom,empire,terrain,culture,religion,holding,map red,map green,map blue
45,0,135,150,Ouse,Lagoons,Derwentia,Tasmania,Greater Tasmania,hills,tasmanian,tersian,auto,166,0,173
46,42,138,23,Follett,Follett,Great Ocean,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,153,0
47,84,141,151,Follett,Follett,Great Ocean,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,152,0
48,126,144,24,Normanby,Normanby,Great Ocean,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,151,0
49,168,147,152,Normanby,Normanby,Great Ocean,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,150,0
50,0,150,25,Normanby,Normanby,Great Ocean,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,149,0
51,42,153,153,Villiers,Villiers,Great Ocean,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,148,0
52,84,156,26,Villiers,Villiers,Great Ocean,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,147,0
53,126,159,154,Villiers,Villiers,Great Ocean,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,146,0
54,168,162,27,Heytesbury,Heytesbury,Great Ocean,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,145,0
55,0,165,155,Heytesbury,Heytesbury,Great Ocean,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,144,0
56,42,168,28,Polwarth,Polwarth,Apollo,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,143,0
57,84,171,156,Polwarth,Polwarth,Apollo,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,142,0
58,126,174,29,Polwarth,Polwarth,Apollo,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,141,0
59,168,177,157,Grant,Grant,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,140,0
60,0,180,30,Grant,Grant,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,139,0
61,42,183,158,Grant,Grant,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,138,0
62,84,186,31,Grant,Grant,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,137,0
63,126,189,159,Grenville,Grenville,Apollo,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,136,0
64,168,192,32,Grenville,Grenville,Apollo,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,135,0
65,0,195,160,Grenville,Grenville,Apollo,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,134,0
66,42,198,33,Hampden,Hampden,Apollo,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,133,0
67,84,201,161,Hampden,Hampden,Apollo,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,132,0
68,126,204,34,Ripon,Ripon,Grampians,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,131,0
69,168,207,162,Ripon,Ripon,Grampians,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,130,0
70,0,210,35,Ripon,Ripon,Grampians,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,129,0
71,42,0,163,Dundas,Dundas,Grampians,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,128,0
72,84,3,36,Dundas,Dundas,Grampians,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,127,0
73,126,6,164,Dundas,Dundas,Grampians,Melbournia,Greater Tasmania,plains,wimmeran,tersian,auto,255,126,0
74,168,9,37,Lowan,Lowan,Grampians,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,0
75,0,12,165,Lowan,Lowan,Grampians,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,1
76,42,15,38,Lowan,Lowan,Grampians,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,2
77,84,18,166,Weeah,Weeah,Mallee,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,3
78,126,21,39,Weeah,Weeah,Mallee,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,4
79,168,24,167,Millewa,Millewa,Mallee,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,5
80,0,27,40,Millewa,Millewa,Mallee,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,6
81,42,30,168,Karkarooc,Karkarooc,Mallee,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,7
82,84,33,41,Karkarooc,Karkarooc,Mallee,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,8
83,126,36,169,Karkarooc,Karkarooc,Mallee,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,9
84,168,39,42,Karkarooc,Karkarooc,Mallee,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,10
85,0,42,170,Borung,Borung,Grampians,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,11
86,42,45,43,Borung,Borung,Grampians,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,12
87,84,48,171,Borung,Borung,Grampians,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,13
88,126,51,44,Kara Kara,Kara Kara,Goldplain,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,14
89,168,54,172,Kara Kara,Kara Kara,Goldplain,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,15
90,0,57,45,Tatchera,Tatchera,Loddon,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,16
91,42,60,173,Tatchera,Tatchera,Loddon,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,17
92,84,63,46,Wedderburn,Wedderburn,Goldplain,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,18
93,126,66,174,Wedderburn,Wedderburn,Goldplain,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,19
94,168,69,47,Talbot,Talbot,Goldplain,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,20
95,0,72,175,Talbot,Talbot,Goldplain,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,21
96,42,75,48,Talbot,Talbot,Goldplain,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,22
97,84,78,176,Bendigo,Bendigo,Goldplain,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,23
98,126,81,49,Bendigo,Bendigo,Goldplain,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,24
99,168,84,177,Bendigo,Bendigo,Goldplain,Victoria,Greater Tasmania,plains,wimmeran,tersian,auto,204,51,25
100,0,87,50,Gunbower,Gunbower,Loddon,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,26
101,42,90,178,Gunbower,Gunbower,Loddon,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,27
102,84,93,51,Rodney,Rodney,Goulburn,Victoria,Greater Tasmania,plains,phillipian,tersian,auto,204,51,28
103,126,96,179,Rodney,Rodney,Goulburn,Victoria,Greater Tasmania,plains,phillipian,tersian,auto,204,51,29
104,168,99,52,Rodney,Rodney,Goulburn,Victoria,Greater Tasmania,plains,phillipian,tersian,auto,204,51,30
105,0,102,180,Dalhousie,Dalhousie,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,204,51,31
106,42,105,53,Dalhousie,Dalhousie,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,204,51,32
107,84,108,181,Bourke,Bourke,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,50,0
108,126,111,54,Bourke,Bourke,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,49,0
109,168,114,182,Bourke,Bourke,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,48,0
110,0,117,55,Bourke,Bourke,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,47,0
111,42,120,183,Bourke,Bourke,Melbourne,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,46,0
112,84,123,56,Mornington,Mornington,Yarra Valley,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,45,0
113,126,126,184,Mornington,Mornington,Yarra Valley,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,44,0
114,168,129,57,Mornington,Mornington,Yarra Valley,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,43,0
115,0,132,185,Evelyn,Evelyn,Yarra Valley,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,42,0
116,42,135,58,Evelyn,Evelyn,Yarra Valley,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,41,0
117,84,138,186,Anglesey,Anglesey,High Country,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,40,0
118,126,141,59,Anglesey,Anglesey,High Country,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,39,0
119,168,144,187,Anglesey,Anglesey,High Country,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,38,0
120,0,147,60,Delatite,Delatite,High Country,Victoria,Greater Tasmania,plains,phillipian,tersian,auto,204,51,1
121,42,150,188,Delatite,Delatite,High Country,Victoria,Greater Tasmania,plains,phillipian,tersian,auto,204,51,2
122,84,153,61,Delatite,Delatite,High Country,Victoria,Greater Tasmania,plains,phillipian,tersian,auto,204,51,3
123,126,156,189,Delatite,Delatite,High Country,Victoria,Greater Tasmania,plains,phillipian,tersian,auto,204,51,4
124,168,159,62,Moira,Moira,Goulburn,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,5
125,0,162,190,Moira,Moira,Goulburn,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,6
126,42,165,63,Moira,Moira,Goulburn,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,7
127,84,168,191,Moira,Moira,Goulburn,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,8
128,126,171,64,Bogong,Bogong,Alps,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,9
129,168,174,192,Bogong,Bogong,Alps,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,10
130,0,177,65,Bogong,Bogong,Alps,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,11
131,42,180,193,Benambra,Benambra,Alps,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,12
132,84,183,66,Benambra,Benambra,Alps,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,13
133,126,186,194,Benambra,Benambra,Alps,Victoria,Greater Tasmania,plains,muruwari,tersian,auto,204,51,14
134,168,189,67,Lakes Entrance,Lakes Entrance,Gippsland,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,50,0
135,0,192,195,Lakes Entrance,Lakes Entrance,Gippsland,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,49,0
136,42,195,68,Lakes Entrance,Lakes Entrance,Gippsland,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,48,0
137,84,198,196,Croajingolong,Croajingolong,Gippsland,Melbournia,Greater Tasmania,plains,illawarran,tersian,auto,255,47,0
138,126,201,69,Croajingolong,Croajingolong,Gippsland,Melbournia,Greater Tasmania,plains,illawarran,tersian,auto,255,46,0
139,168,204,197,Croajingolong,Croajingolong,Gippsland,Melbournia,Greater Tasmania,plains,illawarran,tersian,auto,255,45,0
140,0,207,70,Croajingolong,Croajingolong,Gippsland,Melbournia,Greater Tasmania,plains,illawarran,tersian,auto,255,44,0
141,42,210,198,Dargo,Dargo,Monash,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,43,0
142,84,0,71,Dargo,Dargo,Monash,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,42,0
143,126,3,199,Wonnangatta,Wonnangatta,High Country,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,41,0
144,168,6,72,Wonnangatta,Wonnangatta,High Country,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,40,0
145,0,9,200,Tanjil,Tanjil,Monash,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,39,0
146,42,12,73,Tanjil,Tanjil,Monash,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,38,0
147,84,15,201,Tanjil,Tanjil,Monash,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,37,0
148,126,18,74,Buln Buln,Buln Buln,Monash,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,36,0
149,168,21,202,Buln Buln,Buln Buln,Monash,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,35,0
150,0,24,75,Buln Buln,Buln Buln,Monash,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,34,0
151,42,27,203,Buln Buln,Buln Buln,Monash,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,33,0
152,84,30,76,Buln Buln,Buln Buln,Monash,Melbournia,Greater Tasmania,plains,phillipian,tersian,auto,255,32,0
153,126,33,204,Sea Melbourne,,,,,,,,,,,
154,168,36,77,Sea Bass,,,,,,,,,,,
155,0,39,205,Sea Furneaux,,,,,,,,,,,
156,42,42,78,Sea Victoria,,,,,,,,,,,
157,84,45,206,Sea Savage,,,,,,,,,,,
158,126,48,79,Sea Montgomery,,,,,,,,,,,
159,168,51,207,Sea Kent,,,,,,,,,,,
160,0,54,80,Sea Arthur,,,,,,,,,,,
161,42,57,208,Sea Derwent,,,,,,,,,,,
162,84,60,81,Sea Dorset,,,,,,,,,,,
163,126,63,209,Sea Gippsland,,,,,,,,,,,
164,168,66,82,Sea Otway,,,,,,,,,,,
165,0,69,210,Sea 1,,,,,,,,,,,
166,42,72,83,Sea 2,,,,,,,,,,,
167,84,75,211,Sea 3,,,,,,,,,,,
168,126,78,84,Sea 4,,,,,,,,,,,
169,168,81,212,Sea 5,,,,,,,,,,,
170,0,84,85,Sea 6,,,,,,,,,,,
171,42,87,213,Sea 7,,,,,,,,,,,
172,84,90,86,Sea 8,,,,,,,,,,,
173,126,93,214,Sea 9,,,,,,,,,,,
174,168,96,87,Sea 10,,,,,,,,,,,
175,0,99,215,Sea 11,,,,,,,,,,,
176,42,102,88,Sea 12,,,,,,,,,,,
177,84,105,216,Sea 13,,,,,,,,,,,
178,126,108,89,Sea 14,,,,,,,,,,,
179,168,111,217,Sea 15,,,,,,,,,,,
180,0,114,90,Sea 16,,,,,,,,,,,
181,42,117,218,Sea 17,,,,,,,,,,,
182,84,120,91,Sea 18,,,,,,,,,,,
183,126,123,219,Sea 19,,,,,,,,,,,
184,168,126,92,Sea 20,,,,,,,,,,,
185,0,129,220,Sea 21,,,,,,,,,,,
186,42,132,93,Sea 22,,,,,,,,,,,
187,84,135,221,Sea 23,,,,,,,,,,,
188,126,138,94,Sea 24,,,,,,,,,,,
189,168,141,222,Sea 25,,,,,,,,,,,
190,0,144,95,Sea 26,,,,,,,,,,,
191,42,147,223,Sea 27,,,,,,,,,,,
192,84,150,96,Sea 28,,,,,,,,,,,
193,126,153,224,Sea 29,,,,,,,,,,,
194,168,156,97,Sea 30,,,,,,,,,,,
195,0,159,225,Sea 31,,,,,,,,,,,
196,42,162,98,Sea 32,,,,,,,,,,,
197,84,165,226,Sea 33,,,,,,,,,,,
198,126,168,99,Sea 34,,,,,,,,,,,
199,168,171,227,Sea 35,,,,,,,,,,,
200,0,174,0,Sea 36,,,,,,,,,,,
201,42,177,128,Sea 37,,,,,,,,,,,
202,84,180,1,Sea 38,,,,,,,,,,,
203,126,183,129,Sea 39,,,,,,,,,,,
204,168,186,2,Sea 40,,,,,,,,,,,
205,0,189,130,Sea 41,,,,,,,,,,,
206,42,192,3,Sea 42,,,,,,,,,,,
207,84,195,131,Sea 43,,,,,,,,,,,
208,126,198,4,Sea 44,,,,,,,,,,,
209,168,201,132,Sea 45,,,,,,,,,,,
210,0,204,5,Sea 46,,,,,,,,,,,
211,42,207,133,Sea 47,,,,,,,,,,,
212,84,210,6,Sea 48,,,,,,,,,,,
213,126,0,134,Sea 49,,,,,,,,,,,
214,168,3,7,Sea 50,,,,,,,,,,,
215,0,6,135,Sea 51,,,,,,,,,,,
216,42,9,8,Sea 52,,,,,,,,,,,
217,84,12,136,Sea 53,,,,,,,,,,,
218,126,15,9,Sea 54,,,,,,,,,,,
219,168,18,137,Sea 55,,,,,,,,,,,
220,0,21,10,Sea 56,,,,,,,,,,,
221,42,24,138,Sea 57,,,,,,,,,,,
222,84,27,11,Sea 58,,,,,,,,,,,
223,126,30,139,Sea 59,,,,,,,,,,,
224,168,33,12,Sea 60,,,,,,,,,,,
225,0,36,140,Sea 61,,,,,,,,,,,
226,42,39,13,Sea 62,,,,,,,,,,,
227,84,42,141,Sea 63,,,,,,,,,,,
228,126,45,14,Sea 64,,,,,,,,,,,
229,168,48,142,Sea 65,,,,,,,,,,,
230,0,51,15,Sea 66,,,,,,,,,,,
231,42,54,143,Sea 67,,,,,,,,,,,
232,84,57,16,Sea 68,,,,,,,,,,,
233,126,60,144,Sea 69,,,,,,,,,,,
234,168,63,17,Sea 70,,,,,,,,,,,
235,0,66,145,Sea 71,,,,,,,,,,,
236,42,69,18,Sea 72,,,,,,,,,,,
237,84,72,146,Sea 73,,,,,,,,,,,
238,126,75,19,Sea 74,,,,,,,,,,,
239,168,78,147,Sea 75,,,,,,,,,,,
240,0,81,20,Sea 76,,,,,,,,,,,
241,42,84,148,Sea 77,,,,,,,,,,,
242,84,87,21,Sea 78,,,,,,,,,,,
243,126,138,49,Sea 79,,,,,,,,,,,
244,168,93,22,Sea impassable80,,,,,,,,,,,
245,0,96,150,Sea 81,,,,,,,,,,,
246,42,99,23,Sea 82,,,,,,,,,,,
247,84,102,151,Sea 83,,,,,,,,,,,
248,126,105,24,Sea 84,,,,,,,,,,,
249,168,108,152,Sea 85,,,,,,,,,,,
250,0,111,25,Sea 86,,,,,,,,,,,
251,42,114,153,Sea 87,,,,,,,,,,,
252,84,117,26,Sea 88,,,,,,,,,,,
253,126,120,154,Sea 89,,,,,,,,,,,
254,168,123,27,Sea 90,,,,,,,,,,,
255,0,126,155,Sea 91,,,,,,,,,,,
256,42,129,28,Sea 92,,,,,,,,,,,
257,84,132,156,Sea 93,,,,,,,,,,,
258,126,135,29,Sea 94,,,,,,,,,,,
259,168,138,157,Sea 95,,,,,,,,,,,
260,0,141,30,Sea 96,,,,,,,,,,,
261,42,144,158,Sea 97,,,,,,,,,,,
262,84,147,31,Sea 98,,,,,,,,,,,
263,126,150,159,Sea 99,,,,,,,,,,,
264,168,153,32,Sea 100,,,,,,,,,,,
265,0,156,160,Sea 101,,,,,,,,,,,
266,42,159,33,Sea 102,,,,,,,,,,,
267,84,162,161,Sea 103,,,,,,,,,,,
268,126,165,34,Sea 104,,,,,,,,,,,
269,168,168,162,Sea 105,,,,,,,,,,,
270,0,171,35,Sea 106,,,,,,,,,,,
271,42,174,163,Sea 107,,,,,,,,,,,
272,84,177,36,Sea 108,,,,,,,,,,,
273,126,180,164,Sea 109,,,,,,,,,,,
274,168,183,37,Sea 110,,,,,,,,,,,
275,0,186,165,Sea 111,,,,,,,,,,,
276,42,189,38,Sea 112,,,,,,,,,,,
277,84,192,166,Sea 113,,,,,,,,,,,
278,126,195,39,Sea 114,,,,,,,,,,,
279,168,198,167,Sea 115,,,,,,,,,,,
280,0,201,40,Sea 116,,,,,,,,,,,
281,42,204,168,Sea 117,,,,,,,,,,,
282,84,207,41,Sea 118,,,,,,,,,,,
283,126,210,169,Sea 119,,,,,,,,,,,
284,168,0,42,Sea 120,,,,,,,,,,,
285,0,3,170,Sea 121,,,,,,,,,,,
286,42,6,43,Sea 122,,,,,,,,,,,
287,84,9,171,Sea 123,,,,,,,,,,,
288,126,12,44,Sea 124,,,,,,,,,,,
289,168,15,172,Sea 125,,,,,,,,,,,
290,0,18,45,Sea 126,,,,,,,,,,,
291,42,21,173,Sea 127,,,,,,,,,,,
292,84,24,46,Sea 128,,,,,,,,,,,
293,126,27,174,Sea 129,,,,,,,,,,,
294,168,30,47,Sea 130,,,,,,,,,,,
295,0,33,175,Sea 131,,,,,,,,,,,
296,42,36,48,Sea 132,,,,,,,,,,,
297,84,39,176,Sea 133,,,,,,,,,,,
298,126,42,49,Sea 134,,,,,,,,,,,
299,43,81,138,Sea 135,,,,,,,,,,,
300,0,48,50,Sea 136,,,,,,,,,,,
301,42,51,178,Sea 137,,,,,,,,,,,
302,84,54,51,Sea 138,,,,,,,,,,,
303,126,57,179,Sea 139,,,,,,,,,,,
304,168,60,52,Sea 140,,,,,,,,,,,
305,0,63,180,Sea 141,,,,,,,,,,,
306,42,66,53,Sea 142,,,,,,,,,,,
307,84,69,181,Sea 143,,,,,,,,,,,
308,126,72,54,Sea 144,,,,,,,,,,,
309,168,75,182,Sea 145,,,,,,,,,,,
310,0,78,55,Sea 146,,,,,,,,,,,
311,42,81,183,Sea 147,,,,,,,,,,,
312,84,84,56,Sea 148,,,,,,,,,,,
313,126,87,184,Sea 149,,,,,,,,,,,
314,168,90,57,Sea 150,,,,,,,,,,,
315,0,93,185,Sea 151,,,,,,,,,,,
316,42,96,58,Sea 152,,,,,,,,,,,
317,84,99,186,Sea 153,,,,,,,,,,,
318,126,102,59,Sea 154,,,,,,,,,,,
319,168,105,187,Sea 155,,,,,,,,,,,
320,0,108,60,Sea 156,,,,,,,,,,,
321,42,111,188,Sea 157,,,,,,,,,,,
322,84,114,61,Sea 158,,,,,,,,,,,
323,126,117,189,Sea 159,,,,,,,,,,,
324,168,120,62,Sea 160,,,,,,,,,,,
325,0,123,190,Sea 161,,,,,,,,,,,
326,42,126,63,Sea 162,,,,,,,,,,,
327,84,129,191,Sea 163,,,,,,,,,,,
328,126,132,64,Sea 164,,,,,,,,,,,
329,168,135,192,Sea 165,,,,,,,,,,,
330,0,138,65,Sea 166,,,,,,,,,,,
331,42,141,193,Sea 167,,,,,,,,,,,
332,84,144,66,Sea 168,,,,,,,,,,,
333,126,147,194,Sea 169,,,,,,,,,,,
334,168,150,67,Sea 170,,,,,,,,,,,
